ticker,name,aliases
PHM,PULTE GROUP INC,PHM|PULTE GROUP|PULTE GROUP INC|Pulte Group|Pulte Group Inc
WMT,WALMART INC,WALMART|WALMART INC|WMT|Walmart|Walmart Inc
CAG,CONAGRA BRANDS INC,CAG|CONAGRA BRANDS|CONAGRA BRANDS INC|Conagra Brands|Conagra Brands Inc
ITW,ILLINOIS TOOL WORKS INC,ILLINOIS TOOL WORKS|ILLINOIS TOOL WORKS INC|ITW|Illinois Tool Works|Illinois Tool Works Inc
BALL,BALL CORP,BALL|BALL CORP|Ball|Ball Corp
NKE,NIKE INC,NIKE|NIKE INC|NKE|Nike|Nike Inc
NDSN,NORDSON CORP,NDSN|NORDSON|NORDSON CORP|Nordson|Nordson Corp
AFL,AFLAC INC,AFL|AFLAC|AFLAC INC|Aflac|Aflac Inc
NTRS,NORTHERN TRUST CORP,NORTHERN TRUST|NORTHERN TRUST CORP|NTRS|Northern Trust|Northern Trust Corp
FRT,FEDERAL REALTY INVESTMENT TR NEW,FEDERAL REALTY INVESTMENT TR NEW|FRT|Federal Realty Investment Tr New
LUV,SOUTHWEST AIRLINES CO,LUV|SOUTHWEST AIRLINES|SOUTHWEST AIRLINES CO|Southwest Airlines|Southwest Airlines Co
LNT,ALLIANT ENERGY CORP,ALLIANT ENERGY|ALLIANT ENERGY CORP|Alliant Energy|Alliant Energy Corp|LNT
AXP,AMERICAN EXPRESS CO,AMERICAN EXPRESS|AMERICAN EXPRESS CO|AXP|American Express|American Express Co
TAP,MOLSON COORS BEVERAGE CO,MOLSON COORS BEVERAGE CO|MOLSONORS BEVERAGE|Molson Coors Beverage Co|Molsonors Beverage|TAP
UDR,U D R INC,U D R|U D R INC|U D R Inc|UDR
INTC,INTEL CORP,INTC|INTEL|INTEL CORP|Intel|Intel Corp
BAC,BANK OF AMERICA CORP,BAC|BANK OF AMERICA|BANK OF AMERICA CORP|Bank Of America|Bank Of America Corp
TRV,TRAVELERS COMPANIES INC,TRAVELERS COMPANIES|TRAVELERS COMPANIES INC|TRV|Travelers Companies|Travelers Companies Inc
MDT,MEDTRONIC PLC,MDT|MEDTRONIC PLC|Medtronic Plc
SNA,SNAP ON INC,SNA|SNAP ON|SNAP ON INC|Snap On|Snap On Inc
PNC,P N C FINANCIAL SERVICES GRP INC,P N C FINANCIAL SERVICES GRP|P N C FINANCIAL SERVICES GRP INC|P N C Financial Services Grp|P N C Financial Services Grp Inc|PNC
PCAR,PACCAR INC,PACCAR|PACCAR INC|PCAR|Paccar|Paccar Inc
LUMN,LUMEN TECHOLOGIES INC,LUMEN TECHOLOGIES|LUMEN TECHOLOGIES INC|LUMN|Lumen Techologies|Lumen Techologies Inc
FDX,FEDEX CORP,FDX|FEDEX|FEDEX CORP|Fedex|Fedex Corp
ADI,ANALOG DEVICES INC,ADI|ANALOG DEVICES|ANALOG DEVICES INC|Analog Devices|Analog Devices Inc
NWL,NEWELL BRANDS INC,NEWELL BRANDS|NEWELL BRANDS INC|NWL|Newell Brands|Newell Brands Inc
AMD,ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES|ADVANCED MICRO DEVICES INC|AMD|Advanced Micro Devices|Advanced Micro Devices Inc
LOW,LOWES COMPANIES INC,LOW|LOWES COMPANIES|LOWES COMPANIES INC|Lowes Companies|Lowes Companies Inc
BIO,BIO RAD LABORATORIES INC,BIO|BIO RAD LABORATORIES|BIO RAD LABORATORIES INC|Bio Rad Laboratories|Bio Rad Laboratories Inc
PAYX,PAYCHEX INC,PAYCHEX|PAYCHEX INC|PAYX|Paychex|Paychex Inc
AON,AON PLC NEW,AON|AON PLC NEW|Aon Plc New
TMO,THERMO FISHER SCIENTIFIC INC,THERMO FISHER SCIENTIFIC|THERMO FISHER SCIENTIFIC INC|TMO|Thermo Fisher Scientific|Thermo Fisher Scientific Inc
CSX,C S X CORP,C S X|C S X CORP|C S X Corp|CSX
GL,GLOBE LIFE INC,GL|GLOBE LIFE|GLOBE LIFE INC|Globe Life|Globe Life Inc
WST,WEST PHARMACEUTICAL SERVICES INC,WEST PHARMACEUTICAL SERVICES|WEST PHARMACEUTICAL SERVICES INC|WST|West Pharmaceutical Services|West Pharmaceutical Services Inc
BRO,BROWN & BROWN INC,BRO|BROWN & BROWN|BROWN & BROWN INC|Brown & Brown|Brown & Brown Inc
CI,CIGNA CORP NEW,CI|CIGNA CORP NEW|Cigna Corp New
BBWI,BATH & BODY WORKS INC,BATH & BODY WORKS|BATH & BODY WORKS INC|BBWI|Bath & Body Works|Bath & Body Works Inc
NSC,NORFOLK SOUTHERN CORP,NORFOLK SOUTHERN|NORFOLK SOUTHERN CORP|NSC|Norfolk Southern|Norfolk Southern Corp
PGR,PROGRESSIVE CORP OH,PGR|PROGRESSIVE CORP OH|Progressive Corp Oh
PSA,PUBLIC STORAGE,PSA|PUBLIC STORAGE|Public Storage
D,DOMINION ENERGY INC,D|DOMINION ENERGY|DOMINION ENERGY INC|Dominion Energy|Dominion Energy Inc
KEY,KEYCORP NEW,KEY|KEYCORP NEW|Keycorp New
AOS,SMITH A O CORP,AOS|SMITH A O|SMITH A O CORP|Smith A O|Smith A O Corp
COO,COOPER COMPANIES INC,COO|COOPER COMPANIES|COOPER COMPANIES INC|Cooper Companies|Cooper Companies Inc
VZ,VERIZON COMMUNICATIONS INC,VERIZON COMMUNICATIONS|VERIZON COMMUNICATIONS INC|VZ|Verizon Communications|Verizon Communications Inc
WELL,WELLTOWER INC,WELL|WELLTOWER|WELLTOWER INC|Welltower|Welltower Inc
T,A T & T INC,A T & T|A T & T INC|A T & T Inc|T
USB,U S BANCORP DEL,U S BANCORP DEL|U S Bancorp Del|USB
HD,HOME DEPOT INC,HD|HOME DEPOT|HOME DEPOT INC|Home Depot|Home Depot Inc
WDC,WESTERN DIGITAL CORP,WDC|WESTERN DIGITAL|WESTERN DIGITAL CORP|Western Digital|Western Digital Corp
AIG,AMERICAN INTERNATIONAL GROUP INC,AIG|AMERICAN INTERNATIONAL GROUP|AMERICAN INTERNATIONAL GROUP INC|American International Group|American International Group Inc
PEAK,HEALTHPEAK PROPERTIES INC,HEALTHPEAK PROPERTIES|HEALTHPEAK PROPERTIES INC|Healthpeak Properties|Healthpeak Properties Inc|PEAK
MS,MORGAN STANLEY DEAN WITTER & CO,MORGAN STANLEY DEAN WITTER &|MORGAN STANLEY DEAN WITTER & CO|MS|Morgan Stanley Dean Witter &|Morgan Stanley Dean Witter & Co
RJF,RAYMOND JAMES FINANCIAL INC,RAYMOND JAMES FINANCIAL|RAYMOND JAMES FINANCIAL INC|RJF|Raymond James Financial|Raymond James Financial Inc
STZ,CONSTELLATION BRANDS INC,CONSTELLATION BRANDS|CONSTELLATION BRANDS INC|Constellation Brands|Constellation Brands Inc|STZ
C,CITIGROUP INC,C|CITIGROUP|CITIGROUP INC|Citigroup|Citigroup Inc
ECL,ECOLAB INC,ECL|ECOLAB|ECOLAB INC|Ecolab|Ecolab Inc
TFC,TRUIST FINANCIAL CORP,TFC|TRUIST FINANCIAL|TRUIST FINANCIAL CORP|Truist Financial|Truist Financial Corp
STT,STATE STREET CORP,STATE STREET|STATE STREET CORP|STT|State Street|State Street Corp
SYK,STRYKER CORP,STRYKER|STRYKER CORP|SYK|Stryker|Stryker Corp
BKR,BAKER HUGHES CO,BAKER HUGHES|BAKER HUGHES CO|BKR|Baker Hughes|Baker Hughes Co
CCL,CARNIVAL CORP,CARNIVAL|CARNIVAL CORP|CCL|Carnival|Carnival Corp
SCHW,SCHWAB CHARLES CORP NEW,SCHW|SCHWAB CHARLES CORP NEW|Schwab Charles Corp New
PXD,PIONEER NATURAL RESOURCES CO,PIONEER NATURAL RESOURCES|PIONEER NATURAL RESOURCES CO|PXD|Pioneer Natural Resources|Pioneer Natural Resources Co
ADBE,ADOBE INC,ADBE|ADOBE|ADOBE INC|Adobe|Adobe Inc
IEX,IDEX CORP,IDEX|IDEX CORP|IEX|Idex|Idex Corp
GEN,GEN DIGITAL INC,GEN|GEN DIGITAL|GEN DIGITAL INC|Gen Digital|Gen Digital Inc
TECH,BIO TECHNE CORP,BIO TECHNE|BIO TECHNE CORP|Bio Techne|Bio Techne Corp|TECH
VTR,VENTAS INC,VENTAS|VENTAS INC|VTR|Ventas|Ventas Inc
EOG,EOG RESOURCES INC,EOG|EOG RESOURCES|EOG RESOURCES INC|Eog Resources|Eog Resources Inc
EA,ELECTRONIC ARTS INC,EA|ELECTRONIC ARTS|ELECTRONIC ARTS INC|Electronic Arts|Electronic Arts Inc
PTC,P T C INC,P T C|P T C INC|P T C Inc|PTC
CSCO,CISCO SYSTEMS INC,CISCO SYSTEMS|CISCO SYSTEMS INC|CSCO|Cisco Systems|Cisco Systems Inc
CTRA,COTERRA ENERGY INC,COTERRA ENERGY|COTERRA ENERGY INC|CTRA|Coterra Energy|Coterra Energy Inc
HOLX,HOLOGIC INC,HOLOGIC|HOLOGIC INC|HOLX|Hologic|Hologic Inc
TYL,TYLER TECHNOLOGIES INC,TYL|TYLER TECHNOLOGIES|TYLER TECHNOLOGIES INC|Tyler Technologies|Tyler Technologies Inc
PARA,PARAMOUNT GLOBAL,PARA|PARAMOUNT GLOBAL|Paramount Global
TRMB,TRIMBLE INC,TRIMBLE|TRIMBLE INC|TRMB|Trimble|Trimble Inc
AZO,AUTOZONE INC,AUTOZONE|AUTOZONE INC|AZO|Autozone|Autozone Inc
REGN,REGENERON PHARMACEUTICALS INC,REGENERON PHARMACEUTICALS|REGENERON PHARMACEUTICALS INC|REGN|Regeneron Pharmaceuticals|Regeneron Pharmaceuticals Inc
IDXX,I D E X X LABORATORIES INC,I D E X X LABORATORIES|I D E X X LABORATORIES INC|I D E X X Laboratories|I D E X X Laboratories Inc|IDXX
AES,A E S CORP,A E S|A E S CORP|A E S Corp|AES
VRTX,VERTEX PHARMACEUTICALS INC,VERTEX PHARMACEUTICALS|VERTEX PHARMACEUTICALS INC|VRTX|Vertex Pharmaceuticals|Vertex Pharmaceuticals Inc
ZBRA,ZEBRA TECHNOLOGIES CORP,ZBRA|ZEBRA TECHNOLOGIES|ZEBRA TECHNOLOGIES CORP|Zebra Technologies|Zebra Technologies Corp
BIIB,BIOGEN INC,BIIB|BIOGEN|BIOGEN INC|Biogen|Biogen Inc
ODFL,OLD DOMINION FREIGHT LINE INC,ODFL|OLD DOMINION FREIGHT LINE|OLD DOMINION FREIGHT LINE INC|Old Dominion Freight Line|Old Dominion Freight Line Inc
KIM,KIMCO REALTY CORP,KIM|KIMCO REALTY|KIMCO REALTY CORP|Kimco Realty|Kimco Realty Corp
QCOM,QUALCOMM INC,QCOM|QUALCOMM|QUALCOMM INC|Qualcomm|Qualcomm Inc
GILD,GILEAD SCIENCES INC,GILD|GILEAD SCIENCES|GILEAD SCIENCES INC|Gilead Sciences|Gilead Sciences Inc
ROP,ROPER TECHNOLOGIES INC,ROP|ROPER TECHNOLOGIES|ROPER TECHNOLOGIES INC|Roper Technologies|Roper Technologies Inc
SNPS,SYNOPSYS INC,SNPS|SYNOPSYS|SYNOPSYS INC|Synopsys|Synopsys Inc
MHK,MOHAWK INDUSTRIES INC,MHK|MOHAWK INDUSTRIES|MOHAWK INDUSTRIES INC|Mohawk Industries|Mohawk Industries Inc
BSX,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC|BOSTON SCIENTIFIC CORP|BSX|Boston Scientific|Boston Scientific Corp
STE,STERIS PLC NEW,STE|STERIS PLC NEW|Steris Plc New
DHI,D R HORTON INC,D R HORTON|D R HORTON INC|D R Horton|D R Horton Inc|DHI
SBUX,STARBUCKS CORP,SBUX|STARBUCKS|STARBUCKS CORP|Starbucks|Starbucks Corp
TSN,TYSON FOODS INC,TSN|TYSON FOODS|TYSON FOODS INC|Tyson Foods|Tyson Foods Inc
INTU,INTUIT INC,INTU|INTUIT|INTUIT INC|Intuit|Intuit Inc
MCHP,MICROCHIP TECHNOLOGY INC,MCHP|MICROCHIP TECHNOLOGY|MICROCHIP TECHNOLOGY INC|Microchip Technology|Microchip Technology Inc
CB,CHUBB LTD,CB|CHUBB LTD|Chubb Ltd
ORLY,O REILLY AUTOMOTIVE INC NEW,O REILLY AUTOMOTIVE INC NEW|O Reilly Automotive Inc New|ORLY
RCL,ROYAL CARIBBEAN CRUISES LTD,RCL|ROYAL CARIBBEAN CRUISES LTD|Royal Caribbean Cruises Ltd
ALL,ALLSTATE CORP,ALL|ALLSTATE|ALLSTATE CORP|Allstate|Allstate Corp
CPT,CAMDEN PROPERTY TRUST,CAMDEN PROPERTY TRUST|CPT|Camden Property Trust
BWA,BORGWARNER INC,BORGWARNER|BORGWARNER INC|BWA|Borgwarner|Borgwarner Inc
EQR,EQUITY RESIDENTIAL,EQR|EQUITY RESIDENTIAL|Equity Residential
UHS,UNIVERSAL HEALTH SERVICES INC,UHS|UNIVERSAL HEALTH SERVICES|UNIVERSAL HEALTH SERVICES INC|Universal Health Services|Universal Health Services Inc
ATVI,ACTIVISION BLIZZARD INC,ACTIVISION BLIZZARD|ACTIVISION BLIZZARD INC|ATVI|Activision Blizzard|Activision Blizzard Inc
IT,GARTNER INC,GARTNER|GARTNER INC|Gartner|Gartner Inc|IT
REG,REGENCY CENTERS CORP,REG|REGENCY CENTERS|REGENCY CENTERS CORP|Regency Centers|Regency Centers Corp
NVR,N V R INC,N V R|N V R INC|N V R Inc|NVR
INCY,INCYTE CORP,INCY|INCYTE|INCYTE CORP|Incyte|Incyte Corp
EMN,EASTMAN CHEMICAL CO,EASTMAN CHEMICAL|EASTMAN CHEMICAL CO|EMN|Eastman Chemical|Eastman Chemical Co
SPG,SIMON PROPERTY GROUP INC NEW,SIMON PROPERTY GROUP INC NEW|SPG|Simon Property Group Inc New
MAA,MID AMERICA APT COMMUNITIES INC,MAA|MID AMERICA APT COMMUNITIES|MID AMERICA APT COMMUNITIES INC|Mid America Apt Communities|Mid America Apt Communities Inc
ALB,ALBEMARLE CORP,ALB|ALBEMARLE|ALBEMARLE CORP|Albemarle|Albemarle Corp
MLM,MARTIN MARIETTA MATERIALS INC,MARTIN MARIETTA MATERIALS|MARTIN MARIETTA MATERIALS INC|MLM|Martin Marietta Materials|Martin Marietta Materials Inc
TSCO,TRACTOR SUPPLY CO NEW,TRACTOR SUPPLY CO NEW|TSCO|Tractor Supply Co New
CPRT,COPART INC,COPART|COPART INC|CPRT|Copart|Copart Inc
AVB,AVALONBAY COMMUNITIES INC,AVALONBAY COMMUNITIES|AVALONBAY COMMUNITIES INC|AVB|Avalonbay Communities|Avalonbay Communities Inc
ESS,ESSEX PROPERTY TRUST INC,ESS|ESSEX PROPERTY TRUST|ESSEX PROPERTY TRUST INC|Essex Property Trust|Essex Property Trust Inc
O,REALTY INCOME CORP,O|REALTY INCOME|REALTY INCOME CORP|Realty Income|Realty Income Corp
COF,CAPITAL ONE FINANCIAL CORP,CAPITAL ONE FINANCIAL|CAPITAL ONE FINANCIAL CORP|COF|Capital One Financial|Capital One Financial Corp
MCK,MCKESSON H B O C INC,MCK|MCKESSON H B O C|MCKESSON H B O C INC|Mckesson H B O C|Mckesson H B O C Inc
DLTR,DOLLAR TREE INC,DLTR|DOLLAR TREE|DOLLAR TREE INC|Dollar Tree|Dollar Tree Inc
ABC,AMERISOURCEBERGEN CORP,ABC|AMERISOURCEBERGEN|AMERISOURCEBERGEN CORP|Amerisourcebergen|Amerisourcebergen Corp
DRI,DARDEN RESTAURANTS INC,DARDEN RESTAURANTS|DARDEN RESTAURANTS INC|DRI|Darden Restaurants|Darden Restaurants Inc
WAB,WABTEC CORP,WAB|WABTEC|WABTEC CORP|Wabtec|Wabtec Corp
DISH,DISH NETWORK CORP,DISH|DISH NETWORK|DISH NETWORK CORP|Dish Network|Dish Network Corp
RMD,RESMED INC,RESMED|RESMED INC|RMD|Resmed|Resmed Inc
FCX,FREEPORT MCMORAN INC,FCX|FREEPORT MCMORAN|FREEPORT MCMORAN INC|Freeport Mcmoran|Freeport Mcmoran Inc
ACGL,ARCH CAPITAL GROUP LTD NEW,ACGL|ARCH CAPITAL GROUP LTD NEW|Arch Capital Group Ltd New
RE,EVEREST RE GROUP LTD,EVEREST RE GROUP LTD|Everest Re Group Ltd|RE
DVA,DAVITA INC,DAVITA|DAVITA INC|DVA|Davita|Davita Inc
POOL,POOL CORP,POOL|POOL CORP|Pool|Pool Corp
HSIC,SCHEIN HENRY INC,HSIC|SCHEIN HENRY|SCHEIN HENRY INC|Schein Henry|Schein Henry Inc
NTAP,NETAPP INC,NETAPP|NETAPP INC|NTAP|Netapp|Netapp Inc
EL,LAUDER ESTEE COS INC,EL|LAUDER ESTEE COS|LAUDER ESTEE COS INC|Lauder Estee Cos|Lauder Estee Cos Inc
WAT,WATERS CORP,WAT|WATERS|WATERS CORP|Waters|Waters Corp
HIG,HARTFORD FINANCIAL SVCS GRP INC,HARTFORD FINANCIAL SVCS GRP|HARTFORD FINANCIAL SVCS GRP INC|HIG|Hartford Financial Svcs Grp|Hartford Financial Svcs Grp Inc
IRM,IRON MOUNTAIN INC NEW,IRM|IRON MOUNTAIN INC NEW|Iron Mountain Inc New
BRK,BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL|BRK|Berkshire Hathaway Inc Del
FDS,FACTSET RESEARCH SYSTEMS INC,FACTSET RESEARCH SYSTEMS|FACTSET RESEARCH SYSTEMS INC|FDS|Factset Research Systems|Factset Research Systems Inc
ANSS,ANSYS INC,ANSS|ANSYS|ANSYS INC|Ansys|Ansys Inc
ZION,ZIONS BANCORPORATION N A,ZION|ZIONS BANCORPORATION N A|Zions Bancorporation N A
STLD,STEEL DYNAMICS INC,STEEL DYNAMICS|STEEL DYNAMICS INC|STLD|Steel Dynamics|Steel Dynamics Inc
DGX,QUEST DIAGNOSTICS INC,DGX|QUEST DIAGNOSTICS|QUEST DIAGNOSTICS INC|Quest Diagnostics|Quest Diagnostics Inc
ROK,ROCKWELL AUTOMATION INC,ROCKWELL AUTOMATION|ROCKWELL AUTOMATION INC|ROK|Rockwell Automation|Rockwell Automation Inc
TTWO,TAKE TWO INTERACTIVE SOFTWR INC,TAKE TWO INTERACTIVE SOFTWR|TAKE TWO INTERACTIVE SOFTWR INC|TTWO|Take Two Interactive Softwr|Take Two Interactive Softwr Inc
ARE,ALEXANDRIA REAL EST EQUITIES INC,ALEXANDRIA REAL EST EQUITIES|ALEXANDRIA REAL EST EQUITIES INC|ARE|Alexandria Real Est Equities|Alexandria Real Est Equities Inc
APH,AMPHENOL CORP NEW,AMPHENOL CORP NEW|APH|Amphenol Corp New
AMZN,AMAZON COM INC,AMAZON COM|AMAZON COM INC|AMZN|Amazon Com|Amazon Com Inc
QRVO,QORVO INC,QORVO|QORVO INC|QRVO|Qorvo|Qorvo Inc
BXP,BOSTON PROPERTIES INC,BOSTON PROPERTIES|BOSTON PROPERTIES INC|BXP|Boston Properties|Boston Properties Inc
RL,RALPH LAUREN CORP,RALPH LAUREN|RALPH LAUREN CORP|RL|Ralph Lauren|Ralph Lauren Corp
AME,AMETEK INC NEW,AME|AMETEK INC NEW|Ametek Inc New
VLO,VALERO ENERGY CORP NEW,VALERO ENERGY CORP NEW|VLO|Valero Energy Corp New
YUM,YUM BRANDS INC,YUM|YUM BRANDS|YUM BRANDS INC|Yum Brands|Yum Brands Inc
CHRW,CH ROBINSON WORLDWIDE INC,CH ROBINSON WORLDWIDE|CH ROBINSON WORLDWIDE INC|CHRW|Ch Robinson Worldwide|Ch Robinson Worldwide Inc
PLD,PROLOGIS INC,PLD|PROLOGIS|PROLOGIS INC|Prologis|Prologis Inc
MTD,METTLER TOLEDO INTERNATIONAL INC,METTLER TOLEDO INTERNATIONAL|METTLER TOLEDO INTERNATIONAL INC|MTD|Mettler Toledo International|Mettler Toledo International Inc
ADSK,AUTODESK INC,ADSK|AUTODESK|AUTODESK INC|Autodesk|Autodesk Inc
URI,UNITED RENTALS INC,UNITED RENTALS|UNITED RENTALS INC|URI|United Rentals|United Rentals Inc
VRSN,VERISIGN INC,VERISIGN|VERISIGN INC|VRSN|Verisign|Verisign Inc
PWR,QUANTA SERVICES INC,PWR|QUANTA SERVICES|QUANTA SERVICES INC|Quanta Services|Quanta Services Inc
MAR,MARRIOTT INTERNATIONAL INC NEW,MAR|MARRIOTT INTERNATIONAL INC NEW|Marriott International Inc New
BBY,BEST BUY COMPANY INC,BBY|BEST BUY COMPANY|BEST BUY COMPANY INC|Best Buy Company|Best Buy Company Inc
SEE,SEALED AIR CORP NEW,SEALED AIR CORP NEW|SEE|Sealed Air Corp New
AMT,AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW|AMT|American Tower Corp New
SRE,SEMPRA ENERGY,SEMPRA ENERGY|SRE|Sempra Energy
CTSH,COGNIZANT TECHNOLOGY SOLS CORP,COGNIZANT TECHNOLOGY SOLS|COGNIZANT TECHNOLOGY SOLS CORP|CTSH|Cognizant Technology Sols|Cognizant Technology Sols Corp
RSG,REPUBLIC SERVICES INC,REPUBLIC SERVICES|REPUBLIC SERVICES INC|RSG|Republic Services|Republic Services Inc
CSGP,COSTAR GROUP INC,COSTAR GROUP|COSTAR GROUP INC|CSGP|Costar Group|Costar Group Inc
CCI,CROWN CASTLE INC,CCI|CROWN CASTLE|CROWN CASTLE INC|Crown Castle|Crown Castle Inc
EBAY,EBAY INC,EBAY|EBAY INC|Ebay|Ebay Inc
NVDA,NVIDIA CORP,NVDA|NVIDIA|NVIDIA CORP|Nvidia|Nvidia Corp
BKNG,BOOKING HOLDINGS INC,BKNG|BOOKING HOLDINGS|BOOKING HOLDINGS INC|Booking Holdings|Booking Holdings Inc
GS,GOLDMAN SACHS GROUP INC,GOLDMAN SACHS GROUP|GOLDMAN SACHS GROUP INC|GS|Goldman Sachs Group|Goldman Sachs Group Inc
FFIV,F 5 INC,F 5|F 5 INC|F 5 Inc|FFIV
JNPR,JUNIPER NETWORKS INC,JNPR|JUNIPER NETWORKS|JUNIPER NETWORKS INC|Juniper Networks|Juniper Networks Inc
SBAC,S B A COMMUNICATIONS CORP NEW,S B A COMMUNICATIONS CORP NEW|S B A Communications Corp New|SBAC
COST,COSTCO WHOLESALE CORP NEW,COST|COSTCO WHOLESALE CORP NEW|Costco Wholesale Corp New
DVN,DEVON ENERGY CORP NEW,DEVON ENERGY CORP NEW|DVN|Devon Energy Corp New
BLK,BLACKROCK INC,BLACKROCK|BLACKROCK INC|BLK|Blackrock|Blackrock Inc
AKAM,AKAMAI TECHNOLOGIES INC,AKAM|AKAMAI TECHNOLOGIES|AKAMAI TECHNOLOGIES INC|Akamai Technologies|Akamai Technologies Inc
A,AGILENT TECHNOLOGIES INC,A|AGILENT TECHNOLOGIES|AGILENT TECHNOLOGIES INC|Agilent Technologies|Agilent Technologies Inc
TDY,TELEDYNE TECHNOLOGIES,TDY|TELEDYNE TECHNOLOGIES|Teledyne Technologies
UPS,UNITED PARCEL SERVICE INC,UNITED PARCEL SERVICE|UNITED PARCEL SERVICE INC|UPS|United Parcel Service|United Parcel Service Inc
PKG,PACKAGING CORP AMERICA,PACKAGING CORP AMERICA|PKG|Packaging Corp America
EW,EDWARDS LIFESCIENCES CORP,EDWARDS LIFESCIENCES|EDWARDS LIFESCIENCES CORP|EW|Edwards Lifesciences|Edwards Lifesciences Corp
EXPD,EXPEDITORS INTERNATIONAL WA INC,EXPD|EXPEDITORS INTERNATIONAL WA|EXPEDITORS INTERNATIONAL WA INC|Expeditors International Wa|Expeditors International Wa Inc
MET,METLIFE INC,MET|METLIFE|METLIFE INC|Metlife|Metlife Inc
MNST,MONSTER BEVERAGE CORP NEW,MNST|MONSTER BEVERAGE CORP NEW|Monster Beverage Corp New
ON,ON SEMICONDUCTOR CORP,ON|ON SEMICONDUCTOR|ON SEMICONDUCTOR CORP|On Semiconductor|On Semiconductor Corp
CRL,CHARLES RIVER LABS INTL INC,CHARLES RIVER LABS INTL|CHARLES RIVER LABS INTL INC|CRL|Charles River Labs Intl|Charles River Labs Intl Inc
ISRG,INTUITIVE SURGICAL INC,INTUITIVE SURGICAL|INTUITIVE SURGICAL INC|ISRG|Intuitive Surgical|Intuitive Surgical Inc
ILMN,ILLUMINA INC,ILLUMINA|ILLUMINA INC|ILMN|Illumina|Illumina Inc
TPR,TAPESTRY INC,TAPESTRY|TAPESTRY INC|TPR|Tapestry|Tapestry Inc
JKHY,HENRY JACK & ASSOC INC,HENRY JACK & ASSOC|HENRY JACK & ASSOC INC|Henry Jack & Assoc|Henry Jack & Assoc Inc|JKHY
GRMN,GARMIN LTD,GARMIN LTD|GRMN|Garmin Ltd
ALGN,ALIGN TECHNOLOGY INC,ALGN|ALIGN TECHNOLOGY|ALIGN TECHNOLOGY INC|Align Technology|Align Technology Inc
GPN,GLOBAL PAYMENTS INC,GLOBAL PAYMENTS|GLOBAL PAYMENTS INC|GPN|Global Payments|Global Payments Inc
FIS,FIDELITY NATIONAL INFO SVCS INC,FIDELITY NATIONAL INFO SVCS|FIDELITY NATIONAL INFO SVCS INC|FIS|Fidelity National Info Svcs|Fidelity National Info Svcs Inc
MDLZ,MONDELEZ INTERNATIONAL INC,MDLZ|MONDELEZ INTERNATIONAL|MONDELEZ INTERNATIONAL INC|Mondelez International|Mondelez International Inc
WTW,WILLIS TOWERS WATSON PUB LTD CO,WILLIS TOWERS WATSON PUB LTD|WILLIS TOWERS WATSON PUB LTD CO|WTW|Willis Towers Watson Pub Ltd|Willis Towers Watson Pub Ltd Co
ZBH,ZIMMER BIOMET HOLDINGS INC,ZBH|ZIMMER BIOMET HOLDINGS|ZIMMER BIOMET HOLDINGS INC|Zimmer Biomet Holdings|Zimmer Biomet Holdings Inc
ACN,ACCENTURE PLC IRELAND,ACCENTURE PLC IRELAND|ACN|Accenture Plc Ireland
ELV,ELEVANCE HEALTH INC,ELEVANCE HEALTH|ELEVANCE HEALTH INC|ELV|Elevance Health|Elevance Health Inc
PFG,PRINCIPAL FINANCIAL GROUP INC,PFG|PRINCIPAL FINANCIAL GROUP|PRINCIPAL FINANCIAL GROUP INC|Principal Financial Group|Principal Financial Group Inc
AAP,ADVANCE AUTO PARTS INC,AAP|ADVANCE AUTO PARTS|ADVANCE AUTO PARTS INC|Advance Auto Parts|Advance Auto Parts Inc
PRU,PRUDENTIAL FINANCIAL INC,PRU|PRUDENTIAL FINANCIAL|PRUDENTIAL FINANCIAL INC|Prudential Financial|Prudential Financial Inc
CNC,CENTENE CORP DEL,CENTENE CORP DEL|CNC|Centene Corp Del
NFLX,NETFLIX INC,NETFLIX|NETFLIX INC|NFLX|Netflix|Netflix Inc
KMX,CARMAX INC,CARMAX|CARMAX INC|Carmax|Carmax Inc|KMX
CMCSA,COMCAST CORP NEW,CMCSA|COMCAST CORP NEW|Comcast Corp New
WYNN,WYNN RESORTS LTD,WYNN|WYNN RESORTS LTD|Wynn Resorts Ltd
EQIX,EQUINIX INC,EQIX|EQUINIX|EQUINIX INC|Equinix|Equinix Inc
CME,C M E GROUP INC,C M E GROUP|C M E GROUP INC|C M E Group|C M E Group Inc|CME
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,SEAGATE TECHNOLOGY HOLDINGS PLC|STX|Seagate Technology Holdings Plc
MOH,MOLINA HEALTHCARE INC,MOH|MOLINA HEALTHCARE|MOLINA HEALTHCARE INC|Molina Healthcare|Molina Healthcare Inc
LKQ,L K Q CORP,L K Q|L K Q CORP|L K Q Corp|LKQ
AIZ,ASSURANT INC,AIZ|ASSURANT|ASSURANT INC|Assurant|Assurant Inc
NRG,N R G ENERGY INC,N R G ENERGY|N R G ENERGY INC|N R G Energy|N R G Energy Inc|NRG
SBNY,SIGNATURE BANK NEW YORK N Y,SBNY|SIGNATURE BANK NEW YORK N Y|Signature Bank New York N Y
